8.159663583102078732e+00,-8.132190053711341182e-01,-1.353971705585935048e+00
8.352328145461608955e+00,-1.792034177925095007e+00,-1.040360869026910828e+00
8.971448697314258425e+00,-1.058343290534536019e+00,-6.282433307397607969e-01
7.986803139611135194e+00,-1.070505988424884869e+00,-2.730684645866521820e-01
8.355045461440793630e+00,-1.225058240610260446e-01,-5.100432007834462267e-01
7.849845422637117487e+00,-1.885696487571206503e-01,4.061826816767210024e-01
8.780250392837549711e+00,-6.565657318055884151e-01,3.808505373429270646e-01
8.781597728767527755e+00,3.891427013842080340e-01,3.555530728487478198e-01
8.832899631607808999e+00,-1.786096450033244215e-02,1.310032874353470822e+00
9.561246009003982138e+00,6.971023135636578161e-01,1.060559266617625784e+00
9.731523347762845333e+00,-2.676744531306080033e-01,7.137770333683427504e-01
1.057107975571988234e+01,1.867474113060448582e-01,1.140617661628055224e+00
1.049503307683877651e+01,1.083214571470838550e+00,6.139069487757177201e-01
1.044080208380598584e+01,1.991205396414606754e-01,5.256480046968649289e-02
9.655278402931838144e+00,8.731529950043311894e-01,-6.038992678064988850e-02
9.459087299030978002e+00,-1.119056430855142753e-01,-3.498152417489435728e-01
1.010216985937547740e+01,4.208563432280022498e-01,-9.777206908959406029e-01
1.066320994977181869e+01,1.148312954924710638e+00,-4.772196911848256007e-01
1.119765740631587470e+01,2.908198971593183302e-01,-7.422499137754757781e-01
1.142486826378202380e+01,6.410772400399544768e-01,2.179337210193014740e-01
